city,date,gender,match_referees,tv_umpires,first_umpire,second_umpire,win_by,win_with,result,player_of_match,team_1,team_2,elected_first,toss_winner,venue,mergeid
Dublin,2013-07-31,female,D Govindjee,,K Cross,Sharfuddoula,,,no result,,Pakistan,Sri Lanka,field,Sri Lanka,YMCA Cricket Club,335423354
Dublin,2013-07-16,female,DT Jukes,,GH Black,L Fourie,runs,38.0,Pakistan,,Ireland,Pakistan,bat,Pakistan,YMCA Cricket Club,335523355
St Vincent,2013-07-27,male,DC Boon,JS Wilson,GO Brathwaite,PJ Nero,wickets,2.0,Pakistan,['Shahid Afridi'],West Indies,Pakistan,bat,West Indies,"Arnos Vale Ground, Kingstown",335623356
St Vincent,2013-07-28,male,DC Boon,PJ Nero,GO Brathwaite,JS Wilson,runs,11.0,Pakistan,['Umar Akmal'],West Indies,Pakistan,bat,Pakistan,"Arnos Vale Ground, Kingstown",335723357
Rajkot,2013-10-10,male,RS Mahanama,VA Kulkarni,AK Chaudhary,C Shamshuddin,wickets,6.0,India,['Yuvraj Singh'],India,Australia,field,India,Saurashtra Cricket Association Stadium,335823358
Durban,2014-03-12,male,BC Broad,JD Cloete,S George,AT Holdstock,wickets,5.0,Australia,['BJ Hodge'],South Africa,Australia,field,Australia,Kingsmead,335923359
Centurion,2014-03-14,male,BC Broad,AT Holdstock,JD Cloete,S George,wickets,6.0,Australia,['MA Starc'],South Africa,Australia,field,Australia,SuperSport Park,336023360
,2013-11-13,male,RS Madugalle,Zameer Haider,Ahsan Raza,Shozab Raza,wickets,9.0,South Africa,['DW Steyn'],Pakistan,South Africa,bat,Pakistan,Dubai International Cricket Stadium,336123361
,2013-11-15,male,RS Madugalle,,Ahsan Raza,Zameer Haider,runs,6.0,South Africa,['F du Plessis'],Pakistan,South Africa,bat,South Africa,Dubai International Cricket Stadium,336223362
,2013-12-08,male,DC Boon,Zameer Haider,Ahsan Raza,Shozab Raza,wickets,6.0,Pakistan,['Mohammad Hafeez'],Afghanistan,Pakistan,bat,Afghanistan,Sharjah Cricket Stadium,336323363
,2013-12-11,male,DC Boon,Zameer Haider,Ahsan Raza,Shozab Raza,wickets,3.0,Pakistan,['Shahid Afridi'],Pakistan,Sri Lanka,field,Pakistan,Dubai International Cricket Stadium,336423364
,2013-12-13,male,DC Boon,Shozab Raza,Ahsan Raza,Zameer Haider,runs,24.0,Sri Lanka,['MDKJ Perera'],Pakistan,Sri Lanka,field,Pakistan,Dubai International Cricket Stadium,336523365
,2013-08-23,male,JJ Crowe,RB Tiffin,O Chirombe,TJ Matibiri,runs,25.0,Pakistan,['Ahmed Shehzad'],Zimbabwe,Pakistan,field,Zimbabwe,Harare Sports Club,336623366
,2013-08-24,male,JJ Crowe,TJ Matibiri,O Chirombe,RB Tiffin,runs,19.0,Pakistan,['Ahmed Shehzad'],Zimbabwe,Pakistan,field,Zimbabwe,Harare Sports Club,336723367
Sharjah,2013-11-15,male,DT Jukes,,S Ravi,M Hawthorne,wickets,7.0,Netherlands,['PW Borren'],Afghanistan,Netherlands,bat,Afghanistan,Sharjah Cricket Stadium,336823368
Abu Dhabi,2013-11-16,male,D Govindjee,,MA Gough,REJ Martinesz,runs,2.0,Ireland,['A Bagai'],Canada,Ireland,field,Canada,Sheikh Zayed Stadium,336923369
,2013-11-16,male,GF Labrooy,,CB Gaffaney,AT Holdstock,runs,17.0,Afghanistan,['Dawlat Zadran'],Afghanistan,Scotland,bat,Afghanistan,Sharjah Cricket Stadium,337023370
Dubai,2013-11-19,male,GF Labrooy,,AT Holdstock,S Ravi,runs,92.0,Kenya,['RG Aga'],Kenya,Scotland,bat,Kenya,ICC Academy,337123371
Dubai,2013-11-22,male,GF Labrooy,,M Hawthorne,S Ravi,runs,15.0,Scotland,['RML Taylor'],Netherlands,Scotland,field,Netherlands,ICC Academy,337223372
Dubai,2013-11-23,male,GF Labrooy,,AT Holdstock,Sarika Prasad,runs,29.0,Netherlands,['Mudassar Bukhari'],Kenya,Netherlands,bat,Netherlands,ICC Academy,337323373
,2013-11-24,male,GF Labrooy,,BB Pradhan,Sarika Prasad,runs,34.0,Afghanistan,['Samiullah Shenwari'],Afghanistan,Kenya,bat,Afghanistan,Sharjah Cricket Stadium,337423374
,2013-11-26,male,DT Jukes,,Sarika Prasad,DJ Walker,runs,21.0,Kenya,['SO Tikolo'],Canada,Kenya,bat,Kenya,Sharjah Cricket Stadium,337523375
Abu Dhabi,2013-11-28,male,DT Jukes,JS Wilson,SJ Davis,REJ Martinesz,wickets,8.0,Netherlands,['W Barresi'],Netherlands,Scotland,bat,Scotland,Sheikh Zayed Stadium,337623376
Abu Dhabi,2013-11-30,male,D Govindjee,SJ Davis,MA Gough,S Ravi,runs,68.0,Ireland,['DT Johnston'],Afghanistan,Ireland,bat,Ireland,Sheikh Zayed Stadium,337723377
Auckland,2014-01-11,male,BC Broad,GAV Baxter,CB Gaffaney,DJ Walker,runs,81.0,New Zealand,['L Ronchi'],New Zealand,West Indies,bat,New Zealand,Eden Park,337823378
Wellington,2014-01-15,male,BC Broad,DJ Walker,GAV Baxter,CB Gaffaney,wickets,4.0,New Zealand,['L Ronchi'],New Zealand,West Indies,bat,West Indies,Westpac Stadium,337923379
,2013-09-30,male,GF Labrooy,,RSA Palliyaguruge,BB Pradhan,runs,106.0,Afghanistan,['Hamid Hassan'],Afghanistan,Kenya,bat,Afghanistan,Sharjah Cricket Stadium,338023380
,2013-10-11,male,GF Labrooy,,RSA Palliyaguruge,BB Pradhan,runs,34.0,Kenya,,Afghanistan,Kenya,bat,Kenya,Sharjah Cricket Stadium,338123381
Potchefstroom,2013-09-14,female,D Govindjee,,DJ Smith,BM White,wickets,9.0,South Africa,['M Kapp'],South Africa,Bangladesh,bat,Bangladesh,Senwes Park,338223382
Potchefstroom,2013-09-15,female,D Govindjee,,R Ellis,BM White,runs,3.0,South Africa,['M du Preez'],South Africa,Bangladesh,bat,South Africa,Senwes Park,338323383
,2014-01-31,female,SR Bernard,GC Joshua,SAJ Craig,AP Ward,wickets,7.0,Australia,['HL Ferling'],Australia,England,field,Australia,Melbourne Cricket Ground,338423384
Sydney,2014-02-02,female,SR Bernard,GA Abood,DB Mealey,AK Wilds,wickets,7.0,Australia,['RM Farrell'],Australia,England,field,Australia,Stadium Australia,338523385
Birmingham,2014-09-07,male,RS Madugalle,RJ Bailey,IJ Gould,RT Robinson,runs,3.0,England,['EJG Morgan'],England,India,bat,England,Edgbaston,338623386
London,2014-05-20,male,JJ Crowe,RT Robinson,RJ Bailey,MA Gough,runs,9.0,Sri Lanka,['NLTC Perera'],England,Sri Lanka,field,England,Kennington Oval,338723387
Potchefstroom,2013-10-31,female,D Govindjee,,RN Birkenstock,PJ Vosloo,wickets,7.0,South Africa,['HML Madushani'],South Africa,Sri Lanka,field,South Africa,Senwes Park,338823388
Potchefstroom,2013-11-02,female,D Govindjee,,R Ellis,PJ Vosloo,runs,20.0,Sri Lanka,['HASD Siriwardene'],South Africa,Sri Lanka,field,South Africa,Senwes Park,338923389
Potchefstroom,2013-11-04,female,D Govindjee,,RN Birkenstock,R Ellis,wickets,5.0,South Africa,['S Loubser'],South Africa,Sri Lanka,field,South Africa,Senwes Park,339023390
Mirpur,2013-11-06,male,BC Broad,Enamul Haque,Anisur Rahman,Sharfuddoula,runs,15.0,New Zealand,['C Munro'],Bangladesh,New Zealand,bat,New Zealand,Shere Bangla National Stadium,339123391
,2013-11-21,male,BC Broad,TH Wijewardene,RSA Palliyaguruge,RR Wimalasiri,wickets,8.0,Sri Lanka,['MDKJ Perera'],Sri Lanka,New Zealand,field,Sri Lanka,Pallekele International Cricket Stadium,339223392
Mirpur,2014-03-16,male,RS Madugalle,HDPK Dharmasena,RK Illingworth,NJ Llong,wickets,9.0,Bangladesh,['Shakib Al Hasan'],Bangladesh,Afghanistan,field,Bangladesh,Shere Bangla National Stadium,339323393
Chittagong,2014-03-16,male,J Srinath,PR Reiffel,Aleem Dar,RJ Tucker,runs,80.0,Nepal,['SP Gauchan'],Hong Kong,Nepal,field,Hong Kong,Zahur Ahmed Chowdhury Stadium,339423394
,2014-03-17,male,DC Boon,BNJ Oxenford,SJ Davis,M Erasmus,wickets,3.0,Ireland,['PR Stirling'],Ireland,Zimbabwe,field,Ireland,Sylhet Stadium,339523395
,2014-03-17,male,DC Boon,M Erasmus,BF Bowden,IJ Gould,wickets,6.0,Netherlands,['TLW Cooper'],Netherlands,United Arab Emirates,bat,United Arab Emirates,Sylhet Stadium,339623396
Chittagong,2014-03-18,male,J Srinath,RJ Tucker,S Ravi,PR Reiffel,wickets,7.0,Afghanistan,['Mohammad Shahzad'],Afghanistan,Hong Kong,bat,Hong Kong,Zahur Ahmed Chowdhury Stadium,339723397
Chittagong,2014-03-18,male,J Srinath,S Ravi,Aleem Dar,RJ Tucker,wickets,8.0,Bangladesh,['Al-Amin Hossain'],Bangladesh,Nepal,field,Bangladesh,Zahur Ahmed Chowdhury Stadium,339823398
,2014-03-19,male,DC Boon,IJ Gould,SJ Davis,BNJ Oxenford,wickets,5.0,Zimbabwe,['BRM Taylor'],Netherlands,Zimbabwe,bat,Netherlands,Sylhet Stadium,339923399
,2014-03-19,male,DC Boon,SJ Davis,M Erasmus,IJ Gould,runs,21.0,Ireland,['EC Joyce'],Ireland,United Arab Emirates,field,Ireland,Sylhet Stadium,340023400
Chittagong,2014-03-20,male,J Srinath,RJ Tucker,Aleem Dar,S Ravi,runs,9.0,Nepal,['JK Mukhiya'],Afghanistan,Nepal,field,Afghanistan,Zahur Ahmed Chowdhury Stadium,340123401
Chittagong,2014-03-20,male,J Srinath,Aleem Dar,PR Reiffel,RJ Tucker,wickets,2.0,Hong Kong,['Nadeem Ahmed'],Bangladesh,Hong Kong,field,Hong Kong,Zahur Ahmed Chowdhury Stadium,340223402
,2014-03-21,male,DC Boon,M Erasmus,BF Bowden,BNJ Oxenford,wickets,5.0,Zimbabwe,['E Chigumbura'],United Arab Emirates,Zimbabwe,field,Zimbabwe,Sylhet Stadium,340323403
,2014-03-21,male,DC Boon,BF Bowden,SJ Davis,IJ Gould,wickets,6.0,Netherlands,['SJ Myburgh'],Ireland,Netherlands,field,Netherlands,Sylhet Stadium,340423404
Mirpur,2014-03-21,male,RS Madugalle,NJ Llong,HDPK Dharmasena,RA Kettleborough,wickets,7.0,India,['A Mishra'],India,Pakistan,field,India,Shere Bangla National Stadium,340523405
Chittagong,2014-03-22,male,J Srinath,Aleem Dar,S Ravi,RJ Tucker,runs,5.0,Sri Lanka,['MDKJ Perera'],South Africa,Sri Lanka,bat,Sri Lanka,Zahur Ahmed Chowdhury Stadium,340623406
Chattogram,2014-03-22,male,J Srinath,RJ Tucker,Aleem Dar,PR Reiffel,runs,9.0,New Zealand,['CJ Anderson'],England,New Zealand,field,New Zealand,Zahur Ahmed Chowdhury Stadium,340723407
Mirpur,2014-03-23,male,RS Madugalle,HDPK Dharmasena,RA Kettleborough,NJ Llong,runs,16.0,Pakistan,['Umar Akmal'],Australia,Pakistan,field,Australia,Shere Bangla National Stadium,340823408
Mirpur,2014-03-23,male,RS Madugalle,NJ Llong,HDPK Dharmasena,RK Illingworth,wickets,7.0,India,['A Mishra'],India,West Indies,field,India,Shere Bangla National Stadium,340923409
Chittagong,2014-03-24,male,J Srinath,PR Reiffel,Aleem Dar,S Ravi,runs,2.0,South Africa,['JP Duminy'],New Zealand,South Africa,field,New Zealand,Zahur Ahmed Chowdhury Stadium,341023410
Chittagong,2014-03-24,male,J Srinath,S Ravi,PR Reiffel,RJ Tucker,wickets,9.0,Sri Lanka,['AD Mathews'],Netherlands,Sri Lanka,field,Sri Lanka,Zahur Ahmed Chowdhury Stadium,341123411
Mirpur,2014-03-25,male,RS Madugalle,RK Illingworth,RA Kettleborough,NJ Llong,runs,73.0,West Indies,['DR Smith'],Bangladesh,West Indies,field,Bangladesh,Shere Bangla National Stadium,341223412
Chittagong,2014-03-27,male,DC Boon,RJ Tucker,SJ Davis,BNJ Oxenford,runs,6.0,South Africa,['Imran Tahir'],Netherlands,South Africa,field,Netherlands,Zahur Ahmed Chowdhury Stadium,341323413
Chittagong,2014-03-27,male,DC Boon,SJ Davis,Aleem Dar,RJ Tucker,wickets,6.0,England,['AD Hales'],England,Sri Lanka,field,England,Zahur Ahmed Chowdhury Stadium,341423414
Mirpur,2014-03-28,male,RS Madugalle,RA Kettleborough,M Erasmus,IJ Gould,wickets,6.0,West Indies,['DJG Sammy'],Australia,West Indies,bat,Australia,Shere Bangla National Stadium,341523415
Mirpur,2014-03-28,male,RS Madugalle,M Erasmus,HDPK Dharmasena,RA Kettleborough,wickets,8.0,India,['R Ashwin'],Bangladesh,India,field,India,Shere Bangla National Stadium,341623416
Chittagong,2014-03-29,male,DC Boon,SJ Davis,Aleem Dar,BNJ Oxenford,wickets,6.0,New Zealand,['BB McCullum'],Netherlands,New Zealand,field,New Zealand,Zahur Ahmed Chowdhury Stadium,341723417
Chittagong,2014-03-29,male,DC Boon,BNJ Oxenford,SJ Davis,RJ Tucker,runs,3.0,South Africa,['AB de Villiers'],England,South Africa,field,England,Zahur Ahmed Chowdhury Stadium,341823418
Mirpur,2014-03-30,male,RS Madugalle,HDPK Dharmasena,IJ Gould,RA Kettleborough,runs,50.0,Pakistan,['Ahmed Shehzad'],Bangladesh,Pakistan,bat,Pakistan,Shere Bangla National Stadium,341923419
Mirpur,2014-03-30,male,RS Madugalle,IJ Gould,HDPK Dharmasena,M Erasmus,runs,73.0,India,['R Ashwin'],Australia,India,field,Australia,Shere Bangla National Stadium,342023420
Chittagong,2014-03-31,male,DC Boon,Aleem Dar,SJ Davis,BNJ Oxenford,runs,45.0,Netherlands,['Mudassar Bukhari'],England,Netherlands,field,England,Zahur Ahmed Chowdhury Stadium,342123421
Chittagong,2014-03-31,male,DC Boon,BNJ Oxenford,Aleem Dar,RJ Tucker,runs,59.0,Sri Lanka,['HMRKB Herath'],New Zealand,Sri Lanka,field,New Zealand,Zahur Ahmed Chowdhury Stadium,342223422
Mirpur,2014-04-01,male,RS Madugalle,IJ Gould,HDPK Dharmasena,M Erasmus,wickets,7.0,Australia,['AJ Finch'],Bangladesh,Australia,bat,Bangladesh,Shere Bangla National Stadium,342323423
Mirpur,2014-04-01,male,RS Madugalle,M Erasmus,IJ Gould,RA Kettleborough,runs,84.0,West Indies,['DJ Bravo'],Pakistan,West Indies,bat,West Indies,Shere Bangla National Stadium,342423424
Mirpur,2014-04-03,male,DC Boon,SJ Davis,RA Kettleborough,RJ Tucker,runs,27.0,Sri Lanka,['AD Mathews'],Sri Lanka,West Indies,bat,Sri Lanka,Shere Bangla National Stadium,342523425
Mirpur,2014-04-04,male,RS Madugalle,BNJ Oxenford,HDPK Dharmasena,IJ Gould,wickets,6.0,India,['V Kohli'],India,South Africa,bat,South Africa,Shere Bangla National Stadium,342623426
Mirpur,2014-04-06,male,DC Boon,RJ Tucker,IJ Gould,RA Kettleborough,wickets,6.0,Sri Lanka,['KC Sangakkara'],India,Sri Lanka,field,Sri Lanka,Shere Bangla National Stadium,342723427
,2014-03-23,female,DC Boon,,M Erasmus,IJ Gould,runs,7.0,New Zealand,['NJ Browne'],Australia,New Zealand,field,Australia,Sylhet Stadium,342823428
,2014-03-24,female,DC Boon,,SJ Davis,REJ Martinesz,runs,9.0,West Indies,['DJS Dottin'],England,West Indies,field,England,Sylhet Stadium,342923429
,2014-03-24,female,DC Boon,,BF Bowden,BNJ Oxenford,runs,22.0,Sri Lanka,['KDU Prabodhani'],India,Sri Lanka,bat,Sri Lanka,Sylhet Stadium,343023430
,2014-03-25,female,RS Mahanama,,M Erasmus,IJ Gould,runs,42.0,New Zealand,['SW Bates'],Ireland,New Zealand,bat,New Zealand,Sylhet Stadium,343123431
,2014-03-26,female,RS Mahanama,,BF Bowden,IJ Gould,runs,36.0,West Indies,['SL Quintyne'],Bangladesh,West Indies,bat,West Indies,Sylhet Stadium,343223432
,2014-03-26,female,RS Mahanama,,M Erasmus,REJ Martinesz,wickets,5.0,England,['A Shrubsole'],England,India,bat,India,Sylhet Stadium,343323433
,2014-03-27,female,J Srinath,,REJ Martinesz,PR Reiffel,runs,59.0,New Zealand,['SW Bates'],New Zealand,Pakistan,bat,New Zealand,Sylhet Stadium,343423434
,2014-03-28,female,RS Mahanama,,RK Illingworth,NJ Llong,wickets,8.0,West Indies,['SF Daley'],Sri Lanka,West Indies,bat,Sri Lanka,Sylhet Stadium,343523435
,2014-03-29,female,J Srinath,,RK Illingworth,PR Reiffel,runs,86.0,South Africa,['CL Tryon'],Ireland,South Africa,bat,South Africa,Sylhet Stadium,343623436
,2014-03-29,female,J Srinath,,NJ Llong,S Ravi,runs,94.0,Australia,['EJ Villani'],Australia,Pakistan,bat,Australia,Sylhet Stadium,343723437
,2014-03-30,female,RS Mahanama,,REJ Martinesz,PR Reiffel,runs,79.0,India,['H Kaur'],Bangladesh,India,bat,India,Sylhet Stadium,343823438
,2014-03-30,female,RS Mahanama,,BF Bowden,S Ravi,wickets,7.0,England,['A Shrubsole'],England,Sri Lanka,bat,Sri Lanka,Sylhet Stadium,343923439
,2014-03-31,female,J Srinath,,BF Bowden,RK Illingworth,runs,14.0,Pakistan,['Bismah Maroof'],Ireland,Pakistan,bat,Pakistan,Sylhet Stadium,344023440
,2014-03-31,female,J Srinath,,NJ Llong,REJ Martinesz,wickets,5.0,South Africa,['M du Preez'],New Zealand,South Africa,bat,New Zealand,Sylhet Stadium,344123441
,2014-04-01,female,RS Mahanama,,NJ Llong,S Ravi,runs,3.0,Bangladesh,['Rumana Ahmed'],Bangladesh,Sri Lanka,bat,Bangladesh,Sylhet Stadium,344223442
,2014-04-01,female,RS Mahanama,,RK Illingworth,PR Reiffel,wickets,9.0,India,['PG Raut'],India,West Indies,bat,West Indies,Sylhet Stadium,344323443
,2014-04-02,female,J Srinath,,NJ Llong,S Ravi,wickets,6.0,New Zealand,['RH Priest'],New Zealand,Sri Lanka,bat,Sri Lanka,Sylhet Stadium,344423444
,2014-04-02,female,J Srinath,,BF Bowden,RK Illingworth,runs,6.0,India,['Soniya Dabir'],India,Pakistan,bat,India,Sylhet Stadium,344523445
Mirpur,2014-04-03,female,RS Madugalle,HDPK Dharmasena,Aleem Dar,M Erasmus,runs,8.0,Australia,['EA Osborne'],Australia,West Indies,bat,Australia,Shere Bangla National Stadium,344623446
Mirpur,2014-04-04,female,DC Boon,RJ Tucker,SJ Davis,BNJ Oxenford,wickets,9.0,England,['A Shrubsole'],England,South Africa,field,England,Shere Bangla National Stadium,344723447
Mirpur,2014-04-06,female,RS Madugalle,BF Bowden,Aleem Dar,M Erasmus,wickets,6.0,Australia,['SJ Coyte'],Australia,England,field,Australia,Shere Bangla National Stadium,344823448
Johannesburg,2013-11-20,male,AJ Pycroft,KH Hurter,JD Cloete,S George,runs,4.0,South Africa,['Q de Kock'],South Africa,Pakistan,field,Pakistan,New Wanderers Stadium,344923449
Cape Town,2013-11-22,male,AJ Pycroft,KH Hurter,JD Cloete,S George,runs,6.0,Pakistan,['Mohammad Hafeez'],South Africa,Pakistan,bat,Pakistan,Newlands,345023450
Chittagong,2014-02-12,male,DC Boon,Gazi Sohel,Anisur Rahman,Sharfuddoula,runs,2.0,Sri Lanka,['MDKJ Perera'],Bangladesh,Sri Lanka,field,Bangladesh,Zahur Ahmed Chowdhury Stadium,345123451
Chittagong,2014-02-14,male,DC Boon,Gazi Sohel,Anisur Rahman,Sharfuddoula,wickets,3.0,Sri Lanka,['NLTC Perera'],Bangladesh,Sri Lanka,bat,Bangladesh,Zahur Ahmed Chowdhury Stadium,345223452
Chelmsford,2014-09-01,female,DT Jukes,PR Pollard,JW Lloyds,NA Mallender,wickets,9.0,England,['CM Edwards'],England,South Africa,field,England,County Ground,345323453
Northampton,2014-09-03,female,DT Jukes,RJ Bailey,JW Lloyds,NA Mallender,runs,42.0,England,['CM Edwards'],England,South Africa,bat,England,County Ground,345423454
Birmingham,2014-09-07,female,DT Jukes,RT Robinson,RJ Bailey,DJ Millns,runs,8.0,England,['L Winfield'],England,South Africa,field,South Africa,Edgbaston,345523455
Doha,2014-01-19,female,GF Labrooy,,Ahmed Shahab,Nadeem Malik,wickets,6.0,Pakistan,['Nain Abidi'],Pakistan,South Africa,field,Pakistan,West End Park International Cricket Stadium,345623456
Doha,2014-01-19,female,GF Labrooy,,Kamal Merchant,Mohammad Nasim,wickets,6.0,Ireland,['IMHC Joyce'],Ireland,Pakistan,field,Ireland,West End Park International Cricket Stadium,345723457
Doha,2014-01-20,female,Iqbal Sikander,,Ahmed Shahab,Tahir Shah,runs,46.0,South Africa,['L Lee'],Ireland,South Africa,field,Ireland,West End Park International Cricket Stadium,345823458
Doha,2014-01-24,female,Iqbal Sikander,,Ahmed Shahab,Kamal Merchant,wickets,7.0,Pakistan,['Javeria Khan'],Pakistan,South Africa,field,Pakistan,West End Park International Cricket Stadium,345923459
Jamaica,2014-02-19,male,D Govindjee,,GO Brathwaite,JS Wilson,wickets,6.0,Ireland,['EC Joyce'],West Indies,Ireland,bat,West Indies,"Sabina Park, Kingston",346023460
Jamaica,2014-02-21,male,D Govindjee,,N Duguid,JS Wilson,runs,11.0,West Indies,['DJG Sammy'],West Indies,Ireland,field,Ireland,"Sabina Park, Kingston",346123461
,2014-04-03,female,J Srinath,,NJ Llong,PR Reiffel,runs,14.0,Pakistan,['Bismah Maroof'],Pakistan,Sri Lanka,bat,Pakistan,Sylhet Stadium,346223462
,2014-04-03,female,J Srinath,,RK Illingworth,S Ravi,runs,17.0,Bangladesh,['Panna Ghosh'],Bangladesh,Ireland,bat,Bangladesh,Sylhet Stadium,346323463
Cape Town,2015-01-09,male,RS Madugalle,AT Holdstock,JD Cloete,S George,wickets,4.0,West Indies,['CH Gayle'],South Africa,West Indies,bat,South Africa,Newlands,346423464
Johannesburg,2015-01-11,male,RS Madugalle,JD Cloete,S George,AT Holdstock,wickets,4.0,West Indies,['CH Gayle'],South Africa,West Indies,field,West Indies,New Wanderers Stadium,346523465
,2014-10-05,male,J Srinath,Ahmed Shahab,Ahsan Raza,Shozab Raza,wickets,6.0,Australia,['GJ Maxwell'],Australia,Pakistan,bat,Pakistan,Dubai International Cricket Stadium,346623466
Dominica,2014-07-05,male,J Srinath,GO Brathwaite,PJ Nero,JS Wilson,runs,12.0,New Zealand,['ADS Fletcher'],West Indies,New Zealand,field,New Zealand,"Windsor Park, Roseau",346723467
Dominica,2014-07-06,male,J Srinath,N Duguid,GO Brathwaite,JS Wilson,runs,39.0,West Indies,['ADS Fletcher'],West Indies,New Zealand,field,New Zealand,"Windsor Park, Roseau",346823468
St Kitts,2014-08-27,male,JJ Crowe,GO Brathwaite,PJ Nero,JS Wilson,,,no result,,West Indies,Bangladesh,bat,Bangladesh,"Warner Park, Basseterre",346923469
Durban,2015-01-14,male,RS Madugalle,AT Holdstock,JD Cloete,S George,runs,69.0,South Africa,['MN van Wyk'],South Africa,West Indies,field,West Indies,Kingsmead,347023470
,2014-12-04,male,RS Mahanama,Shozab Raza,Ahmed Shahab,Ahsan Raza,wickets,7.0,Pakistan,['Sarfraz Ahmed'],New Zealand,Pakistan,field,Pakistan,Dubai International Cricket Stadium,347123471
Manchester,2015-06-23,male,J Srinath,MA Gough,RJ Bailey,RT Robinson,runs,56.0,England,['JE Root'],England,New Zealand,bat,England,Old Trafford,347223472
Cardiff,2015-08-31,male,JJ Crowe,RJ Bailey,MA Gough,RT Robinson,runs,5.0,England,['MM Ali'],England,Australia,field,Australia,Sophia Gardens,347323473
,2014-12-05,male,RS Mahanama,Ahmed Shahab,Aleem Dar,Shozab Raza,runs,17.0,New Zealand,['AP Devcich'],New Zealand,Pakistan,field,Pakistan,Dubai International Cricket Stadium,347423474
,2014-11-05,male,J Srinath,MD Martell,SD Fry,JD Ward,wickets,7.0,South Africa,['RR Rossouw'],Australia,South Africa,bat,Australia,Adelaide Oval,347523475
,2014-11-07,male,J Srinath,JD Ward,SD Fry,MD Martell,wickets,7.0,Australia,['CJ Boyce'],Australia,South Africa,bat,South Africa,Melbourne Cricket Ground,347623476
Sydney,2014-11-09,male,J Srinath,SD Fry,MD Martell,JD Ward,wickets,2.0,Australia,['CL White'],Australia,South Africa,field,Australia,Stadium Australia,347723477
Gold Coast,2014-08-30,female,D Talalla,,GA Abood,GC Joshua,wickets,9.0,Australia,['EA Osborne'],Australia,Pakistan,bat,Pakistan,Kerrydale Oval,347823478
Gold Coast,2014-08-31,female,D Talalla,,GC Joshua,SJ Nogajski,runs,63.0,Australia,['DM Kimmince'],Australia,Pakistan,bat,Australia,Kerrydale Oval,347923479
Gold Coast,2014-09-03,female,D Talalla,,GA Abood,SJ Nogajski,wickets,8.0,Australia,['EJ Villani'],Australia,Pakistan,bat,Pakistan,Kerrydale Oval,348023480
Gold Coast,2014-09-05,female,D Talalla,,GA Abood,GC Joshua,runs,20.0,Australia,['MM Lanning'],Australia,Pakistan,bat,Australia,Kerrydale Oval,348123481
Sydney,2014-11-02,female,SR Bernard,,GJ Davidson,AK Wilds,wickets,4.0,Australia,['JL Jonassen'],Australia,West Indies,field,Australia,North Sydney Oval,348223482
,2014-11-07,female,SR Bernard,MW Graham-Smith,GJ Davidson,AK Wilds,wickets,4.0,Australia,['SR Taylor'],Australia,West Indies,bat,West Indies,Melbourne Cricket Ground,348323483
Colombo,2014-10-23,female,WMJK de Silva,,LE Hannibal,RD Kottahachchi,runs,7.0,Sri Lanka,['HASD Siriwardene'],Sri Lanka,South Africa,bat,Sri Lanka,Colts Cricket Club Ground,348423484
Colombo,2014-10-25,female,M Pethiyagoda,,EJAPAM Jayasooriya,RMPJ Rambukwella,wickets,7.0,South Africa,['D van Niekerk'],Sri Lanka,South Africa,bat,Sri Lanka,Colts Cricket Club Ground,348523485
Colombo,2014-10-26,female,WC Labrooy,,ID Gunawardene,RD Kottahachchi,wickets,9.0,South Africa,['D van Niekerk'],Sri Lanka,South Africa,bat,Sri Lanka,Mercantile Cricket Association Ground,348623486
Chelmsford,2015-08-26,female,,PJ Hartley,NGB Cook,MJ Saggers,wickets,7.0,England,['SJ Taylor'],England,Australia,field,England,County Ground,348723487
Hove,2015-08-28,female,,MJD Bodenham,NGB Cook,PJ Hartley,runs,20.0,Australia,['RM Farrell'],England,Australia,field,England,County Ground,348823488
Cardiff,2015-08-31,female,DT Jukes,RT Robinson,RJ Bailey,RK Illingworth,wickets,5.0,England,['NR Sciver'],England,Australia,field,England,Sophia Gardens,348923489
Dublin,2015-08-19,female,DT Jukes,,AA Baig,GH Black,runs,25.0,Australia,,Ireland,Australia,field,Ireland,YMCA Cricket Club,349023490
Dublin,2015-08-21,female,DT Jukes,,M Block,K Gallagher,runs,55.0,Australia,,Ireland,Australia,bat,Australia,YMCA Cricket Club,349123491
Dublin,2015-08-22,female,DT Jukes,,AA Baig,CM Colleran,runs,99.0,Australia,,Ireland,Australia,bat,Australia,YMCA Cricket Club,349223492
Cape Town,2016-02-19,male,AJ Pycroft,AT Holdstock,JD Cloete,S George,wickets,3.0,South Africa,['Imran Tahir'],South Africa,England,field,South Africa,Newlands,349323493
Johannesburg,2016-02-21,male,AJ Pycroft,S George,JD Cloete,AT Holdstock,wickets,9.0,South Africa,['AB de Villiers'],South Africa,England,field,South Africa,New Wanderers Stadium,349423494
Colombo,2014-11-24,male,GF Labrooy,,RSA Palliyaguruge,RR Wimalasiri,wickets,2.0,Hong Kong,['Aizaz Khan'],Hong Kong,Nepal,field,Hong Kong,P Sara Oval,349523495
,2015-01-16,female,GF Labrooy,,Farooq Ali Khan,Rashid Riaz,runs,55.0,Pakistan,['Sana Mir'],Pakistan,Sri Lanka,bat,Pakistan,Sharjah Cricket Stadium,349623496
