city,date,gender,match_referees,tv_umpires,first_umpire,second_umpire,win_by,win_with,result,player_of_match,team_1,team_2,elected_first,toss_winner,venue,mergeid
Lower Austria,2020-08-12,female,,,Praveen Kumar Swamidas,Rajinder Kumar,runs,82.0,Germany,['CM Gough'],Germany,Austria,field,Austria,"Seebarn Cricket Centre, Lower Austria",31407231407
Lower Austria,2020-08-13,female,,,Dharminder Pal Rauhia,Rajinder Kumar,runs,138.0,Germany,['JE Ronalds'],Germany,Austria,bat,Germany,Seebarn Cricket Centre,31408231408
Lower Austria,2020-08-13,female,,,Dharminder Pal Rauhia,Rajinder Kumar,wickets,10.0,Germany,['A Bierwisch'],Austria,Germany,bat,Austria,Seebarn Cricket Centre,31409231409
Lower Austria,2020-08-14,female,,,Dharminder Pal Rauhia,Rajinder Kumar,runs,137.0,Germany,['CM Gough'],Germany,Austria,bat,Germany,Seebarn Cricket Centre,31410231410
Lower Austria,2020-08-15,female,,,Dharminder Pal Rauhia,Rajinder Kumar,runs,79.0,Germany,['A Bierwisch'],Germany,Austria,bat,Germany,Seebarn Cricket Centre,31411231411
Walferdange,2020-08-29,male,,,,,runs,37.0,Belgium,,Belgium,Luxembourg,bat,Belgium,Pierre Werner Cricket Ground,31412231412
Walferdange,2020-08-30,male,,,,,runs,87.0,Belgium,,Belgium,Czech Republic,bat,Belgium,Pierre Werner Cricket Ground,31413231413
Walferdange,2020-08-30,male,,,,,runs,49.0,Belgium,,Belgium,Luxembourg,bat,Belgium,Pierre Werner Cricket Ground,31414231414
St Peter Port,2020-08-21,male,,,C Brooks,M Savage,wickets,8.0,Guernsey,['IDA Damarell'],Isle of Man,Guernsey,bat,Isle of Man,College Field,31415231415
Derby,2020-09-21,female,Wayne Noon,DJ Millns,M Burns,S Redfern,runs,47.0,England,['TT Beaumont'],England,West Indies,bat,England,County Ground,31416231416
Derby,2020-09-23,female,Wayne Noon,S Redfern,GD Lloyd,DJ Millns,runs,47.0,England,['S Glenn'],England,West Indies,field,West Indies,County Ground,31417231417
Derby,2020-09-26,female,Wayne Noon,M Burns,S Redfern,DJ Millns,runs,20.0,England,['NR Sciver'],England,West Indies,bat,England,County Ground,31418231418
Derby,2020-09-28,female,Wayne Noon,DJ Millns,GD Lloyd,M Burns,runs,44.0,England,['AE Jones'],England,West Indies,bat,England,County Ground,31419231419
Derby,2020-09-30,female,Wayne Noon,M Burns,GD Lloyd,S Redfern,wickets,3.0,England,['SS Connell'],West Indies,England,field,England,County Ground,31420231420
,2020-11-07,male,Muhammad Javed,Rashid Riaz,Asif Yaqoob,Aleem Dar,wickets,6.0,Pakistan,['Babar Azam'],Zimbabwe,Pakistan,bat,Zimbabwe,Rawalpindi Cricket Stadium,31421231421
,2020-11-08,male,Muhammad Javed,Aleem Dar,Ahsan Raza,Rashid Riaz,wickets,8.0,Pakistan,['Haider Ali'],Zimbabwe,Pakistan,field,Pakistan,Rawalpindi Cricket Stadium,31422231422
,2020-11-10,male,Muhammad Javed,Asif Yaqoob,Aleem Dar,Ahsan Raza,wickets,8.0,Pakistan,['Usman Qadir'],Zimbabwe,Pakistan,bat,Zimbabwe,Rawalpindi Cricket Stadium,31423231423
Auckland,2020-11-27,male,JJ Crowe,SB Haig,CM Brown,WR Knights,wickets,5.0,New Zealand,['LH Ferguson'],West Indies,New Zealand,field,New Zealand,Eden Park,31424231424
Mount Maunganui,2020-11-29,male,JJ Crowe,WR Knights,CM Brown,SB Haig,runs,72.0,New Zealand,['GD Phillips'],New Zealand,West Indies,field,West Indies,Bay Oval,31425231425
Mount Maunganui,2020-11-30,male,JJ Crowe,CM Brown,SB Haig,WR Knights,,,no result,,West Indies,New Zealand,field,New Zealand,Bay Oval,31426231426
Auckland,2020-12-18,male,JJ Crowe,CM Brown,SB Haig,WR Knights,wickets,5.0,New Zealand,['JA Duffy'],Pakistan,New Zealand,bat,Pakistan,Eden Park,31427231427
Hamilton,2020-12-20,male,JJ Crowe,WR Knights,CM Brown,SB Haig,wickets,9.0,New Zealand,['TG Southee'],Pakistan,New Zealand,bat,Pakistan,Seddon Park,31428231428
Napier,2020-12-22,male,JJ Crowe,SB Haig,CM Brown,WR Knights,wickets,4.0,Pakistan,['Mohammad Rizwan'],New Zealand,Pakistan,field,Pakistan,McLean Park,31429231429
Christchurch,2021-02-22,male,JJ Crowe,WR Knights,CM Brown,CB Gaffaney,runs,53.0,New Zealand,['DP Conway'],New Zealand,Australia,field,Australia,Hagley Oval,31430231430
Dunedin,2021-02-25,male,JJ Crowe,CM Brown,CB Gaffaney,SB Haig,runs,4.0,New Zealand,['MJ Guptill'],New Zealand,Australia,field,Australia,University Oval,31431231431
Wellington,2021-03-03,male,JJ Crowe,SB Haig,CB Gaffaney,WR Knights,runs,64.0,Australia,['AC Agar'],Australia,New Zealand,field,New Zealand,Westpac Stadium,31432231432
Wellington,2021-03-05,male,JJ Crowe,CB Gaffaney,CM Brown,WR Knights,runs,50.0,Australia,['AJ Finch'],Australia,New Zealand,bat,Australia,Westpac Stadium,31433231433
Wellington,2021-03-07,male,JJ Crowe,SB Haig,CB Gaffaney,WR Knights,wickets,7.0,New Zealand,['MJ Guptill'],Australia,New Zealand,bat,Australia,Sky Stadium,31434231434
Hamilton,2021-03-28,male,JJ Crowe,WR Knights,CB Gaffaney,SB Haig,runs,66.0,New Zealand,['DP Conway'],New Zealand,Bangladesh,bat,New Zealand,Seddon Park,31435231435
Napier,2021-03-30,male,JJ Crowe,CB Gaffaney,CM Brown,WR Knights,runs,28.0,New Zealand,['GD Phillips'],New Zealand,Bangladesh,field,Bangladesh,McLean Park,31436231436
Auckland,2021-04-01,male,JJ Crowe,WR Knights,CM Brown,CB Gaffaney,runs,65.0,New Zealand,['FH Allen'],New Zealand,Bangladesh,field,Bangladesh,Eden Park,31437231437
,2020-10-16,male,,,Syed Atif Naqvi,A Begg,runs,33.0,Bulgaria,['Bakhtiar Tahiri'],Bulgaria,Romania,bat,Bulgaria,Moara Vlasiei Cricket Ground,31438231438
,2020-10-17,male,,,Dharmendra Manani,Taranjeet Singh,runs,52.0,Romania,['R Satheesan'],Romania,Bulgaria,bat,Romania,Moara Vlasiei Cricket Ground,31439231439
,2020-10-18,male,,,Dharmendra Manani,IA De Silva,wickets,6.0,Romania,['S Vashisht'],Bulgaria,Romania,bat,Bulgaria,Moara Vlasiei Cricket Ground,31440231440
Cape Town,2020-11-27,male,AJ Pycroft,BP Jele,A Paleker,AT Holdstock,wickets,5.0,England,['JM Bairstow'],South Africa,England,field,England,Newlands,31441231441
Paarl,2020-11-29,male,AJ Pycroft,A Paleker,AT Holdstock,S George,wickets,4.0,England,['DJ Malan'],South Africa,England,field,England,Boland Park,31442231442
Cape Town,2020-12-01,male,AJ Pycroft,AT Holdstock,A Paleker,BP Jele,wickets,9.0,England,['DJ Malan'],South Africa,England,bat,South Africa,Newlands,31443231443
Nottingham,2021-07-16,male,Wayne Noon,AG Wharf,DJ Millns,MJ Saggers,runs,31.0,Pakistan,['Shaheen Shah Afridi'],Pakistan,England,field,England,"Trent Bridge, Nottingham",31444231444
Leeds,2021-07-18,male,Wayne Noon,DJ Millns,AG Wharf,MJ Saggers,runs,45.0,England,['MM Ali'],England,Pakistan,field,Pakistan,"Headingley, Leeds",31445231445
Manchester,2021-07-20,male,Wayne Noon,MJ Saggers,AG Wharf,DJ Millns,wickets,3.0,England,['JJ Roy'],Pakistan,England,bat,Pakistan,"Old Trafford, Manchester",31446231446
Lahore,2021-02-11,male,Muhammad Javed,Shozab Raza,Ahsan Raza,Aleem Dar,runs,3.0,Pakistan,['Mohammad Rizwan'],Pakistan,South Africa,field,South Africa,Gaddafi Stadium,31447231447
Lahore,2021-02-13,male,Muhammad Javed,Ahsan Raza,Asif Yaqoob,Shozab Raza,wickets,6.0,South Africa,['D Pretorius'],Pakistan,South Africa,field,South Africa,Gaddafi Stadium,31448231448
Lahore,2021-02-14,male,Muhammad Javed,Ahsan Raza,Aleem Dar,Rashid Riaz,wickets,4.0,Pakistan,['Mohammad Nawaz (3)'],South Africa,Pakistan,field,Pakistan,Gaddafi Stadium,31449231449
Ahmedabad,2021-03-12,male,J Srinath,VK Sharma,Nitin Menon,KN Ananthapadmanabhan,wickets,8.0,England,['JC Archer'],India,England,field,England,Narendra Modi Stadium,31450231450
Ahmedabad,2021-03-14,male,J Srinath,VK Sharma,AK Chaudhary,KN Ananthapadmanabhan,wickets,7.0,India,['Ishan Kishan'],England,India,field,India,Narendra Modi Stadium,31451231451
Ahmedabad,2021-03-16,male,J Srinath,Nitin Menon,AK Chaudhary,VK Sharma,wickets,8.0,England,['JC Buttler'],India,England,field,England,Narendra Modi Stadium,31452231452
Ahmedabad,2021-03-18,male,J Srinath,VK Sharma,KN Ananthapadmanabhan,Nitin Menon,runs,8.0,India,['SA Yadav'],India,England,field,England,Narendra Modi Stadium,31453231453
Ahmedabad,2021-03-20,male,J Srinath,KN Ananthapadmanabhan,AK Chaudhary,Nitin Menon,runs,36.0,India,['B Kumar'],India,England,field,England,Narendra Modi Stadium,31454231454
Durban,2021-01-29,female,SA Fritz,BM White,LB Gcuma,Stephen Harris,wickets,8.0,South Africa,,Pakistan,South Africa,bat,Pakistan,Kingsmead,31455231455
Durban,2021-01-31,female,SA Fritz,,Lauren Agenbag,LB Gcuma,runs,18.0,South Africa,,South Africa,Pakistan,field,Pakistan,Kingsmead,31456231456
Durban,2021-02-03,female,SA Fritz,LB Gcuma,Lauren Agenbag,Stephen Harris,runs,8.0,Pakistan,['Javeria Khan'],Pakistan,South Africa,field,South Africa,Kingsmead,31457231457
Cardiff,2021-06-23,male,Phil Whitticase,M Burns,DJ Millns,MJ Saggers,wickets,8.0,England,['JC Buttler'],Sri Lanka,England,bat,Sri Lanka,"Sophia Gardens, Cardiff",31458231458
Cardiff,2021-06-24,male,Phil Whitticase,MJ Saggers,AG Wharf,M Burns,wickets,5.0,England,['LS Livingstone'],Sri Lanka,England,bat,Sri Lanka,"Sophia Gardens, Cardiff",31459231459
Southampton,2021-06-26,male,Phil Whitticase,DJ Millns,AG Wharf,MJ Saggers,runs,89.0,England,['DJ Malan'],England,Sri Lanka,field,Sri Lanka,"The Rose Bowl, Southampton",31460231460
Wellington,2021-03-03,female,GAV Baxter,A Mehrotra,JM Dempsey,Kim Cotton,wickets,7.0,England,['S Glenn'],New Zealand,England,field,England,Westpac Stadium,31461231461
Wellington,2021-03-05,female,GAV Baxter,Kim Cotton,A Mehrotra,JM Dempsey,wickets,6.0,England,['FR Davies'],New Zealand,England,field,England,Westpac Stadium,31462231462
Wellington,2021-03-07,female,GAV Baxter,A Mehrotra,JM Dempsey,Kim Cotton,runs,32.0,England,['KH Brunt'],England,New Zealand,field,New Zealand,Sky Stadium,31463231463
Hamilton,2021-03-28,female,GAV Baxter,Damian Morrow,JM Dempsey,Kim Cotton,wickets,6.0,Australia,['A Gardner'],New Zealand,Australia,field,Australia,Seddon Park,31464231464
Napier,2021-03-30,female,GAV Baxter,C Black,JM Dempsey,Kim Cotton,wickets,4.0,New Zealand,['FL Mackay'],Australia,New Zealand,field,New Zealand,McLean Park,31465231465
Auckland,2021-04-01,female,GAV Baxter,Damian Morrow,JM Dempsey,Kim Cotton,,,no result,,Australia,New Zealand,field,New Zealand,Eden Park,31466231466
Johannesburg,2021-04-10,male,AJ Pycroft,BP Jele,AT Holdstock,A Paleker,wickets,4.0,Pakistan,['Mohammad Rizwan'],South Africa,Pakistan,bat,South Africa,"The Wanderers Stadium, Johannesburg",31467231467
Johannesburg,2021-04-12,male,AJ Pycroft,S George,AT Holdstock,BP Jele,wickets,6.0,South Africa,['GF Linde'],Pakistan,South Africa,bat,Pakistan,"The Wanderers Stadium, Johannesburg",31468231468
Centurion,2021-04-14,male,AJ Pycroft,AT Holdstock,A Paleker,BP Jele,wickets,9.0,Pakistan,['Babar Azam'],South Africa,Pakistan,field,Pakistan,"SuperSport Park, Centurion",31469231469
Centurion,2021-04-16,male,AJ Pycroft,A Paleker,AT Holdstock,S George,wickets,3.0,Pakistan,['Faheem Ashraf'],South Africa,Pakistan,field,Pakistan,"SuperSport Park, Centurion",31470231470
Dublin,2021-07-19,male,K Gallagher,PA Reynolds,AJ Neill,M Hawthorne,runs,33.0,South Africa,['T Shamsi'],South Africa,Ireland,field,Ireland,"The Village, Malahide, Dublin",31471231471
Belfast,2021-07-22,male,K Gallagher,AJ Neill,PA Reynolds,R Black,runs,42.0,South Africa,['DA Miller'],South Africa,Ireland,bat,South Africa,"Civil Service Cricket Club, Stormont, Belfast",31472231472
